day,temp,salt,cond,ph
d1,15C,16,blank,7.4
d1,15C,16,blank,NA
d1,15C,16,charles,8.4
d1,15C,16,blank,7.7
d1,15C,31,blank,7.7
d1,15C,31,blank,NA
d1,15C,31,charles,8.2
d1,15C,31,blank,7.7
d1,15C,46,blank,7.6
d1,15C,46,blank,NA
d1,15C,46,charles,7.8
d1,15C,46,blank,NA
d1,15C,16,ica,8.4
d1,15C,16,blank,NA
d1,15C,16,charles,8.4
d1,15C,16,blank,NA
d1,15C,31,ica,8.3
d1,15C,31,blank,NA
d1,15C,31,charles,8.2
d1,15C,31,blank,NA
d1,15C,46,ica,8
d1,15C,46,blank,NA
d1,15C,46,charles,7.7
d1,15C,46,blank,NA
d1,15C,16,ica,8.4
d1,15C,16,blank,NA
d1,15C,16,charles,8.4
d1,15C,16,blank,NA
d1,15C,31,ica,8.2
d1,15C,31,blank,NA
d1,15C,31,charles,8.2
d1,15C,31,blank,NA
d1,15C,46,ica,8.1
d1,15C,46,blank,NA
d1,15C,46,charles,7.7
d1,15C,46,blank,NA
d1,15C,16,ica,8.4
d1,15C,16,blank,NA
d1,15C,16,blank,NA
d1,15C,16,blank,NA
d1,15C,31,ica,8.4
d1,15C,31,blank,NA
d1,15C,31,blank,NA
d1,15C,31,blank,NA
d1,15C,46,ica,8.1
d1,15C,46,blank,NA
d1,15C,46,blank,NA
d1,15C,46,blank,NA
d1,15C,16,blank,NA
d1,15C,16,blank,NA
d1,15C,16,fucus,8.5
d1,15C,16,blank,NA
d1,15C,31,blank,NA
d1,15C,31,blank,NA
d1,15C,31,fucus,8.2
d1,15C,31,blank,NA
d1,15C,46,blank,NA
d1,15C,46,blank,NA
d1,15C,46,fucus,8
d1,15C,46,blank,NA
d1,15C,16,nahant,8.5
d1,15C,16,blank,NA
d1,15C,16,fucus,8.5
d1,15C,16,blank,NA
d1,15C,31,nahant,8.3
d1,15C,31,blank,NA
d1,15C,31,fucus,8.2
d1,15C,31,blank,NA
d1,15C,46,nahant,8.1
d1,15C,46,blank,NA
d1,15C,46,fucus,8.1
d1,15C,46,blank,NA
d1,15C,16,nahant,8.5
d1,15C,16,blank,NA
d1,15C,16,fucus,8.5
d1,15C,16,blank,NA
d1,15C,31,nahant,8.3
d1,15C,31,blank,NA
d1,15C,31,fucus,8.3
d1,15C,31,blank,NA
d1,15C,46,nahant,8.1
d1,15C,46,blank,NA
d1,15C,46,fucus,8.1
d1,15C,46,blank,NA
d1,15C,16,nahant,8.5
d1,15C,16,blank,NA
d1,15C,16,blank,NA
d1,15C,16,blank,NA
d1,15C,31,nahant,8.2
d1,15C,31,blank,NA
d1,15C,31,blank,NA
d1,15C,31,blank,NA
d1,15C,46,nahant,8.1
d1,15C,46,blank,NA
d1,15C,46,blank,NA
d1,15C,46,blank,NA
d1,roomtemp,16,blank,7.5
d1,roomtemp,16,blank,NA
d1,roomtemp,16,charles,8.6
d1,roomtemp,16,blank,7.6
d1,roomtemp,31,blank,7.8
d1,roomtemp,31,blank,NA
d1,roomtemp,31,charles,8.3
d1,roomtemp,31,blank,7.8
d1,roomtemp,46,blank,7.7
d1,roomtemp,46,blank,NA
d1,roomtemp,46,charles,8.2
d1,roomtemp,46,blank,NA
d1,roomtemp,16,ica,8.6
d1,roomtemp,16,blank,NA
d1,roomtemp,16,charles,8.6
d1,roomtemp,16,blank,NA
d1,roomtemp,31,ica,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,31,charles,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,46,ica,7.8
d1,roomtemp,46,blank,NA
d1,roomtemp,46,charles,8.2
d1,roomtemp,46,blank,NA
d1,roomtemp,16,ica,8.6
d1,roomtemp,16,blank,NA
d1,roomtemp,16,charles,8.6
d1,roomtemp,16,blank,NA
d1,roomtemp,31,ica,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,31,charles,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,46,ica,7.9
d1,roomtemp,46,blank,NA
d1,roomtemp,46,charles,8.2
d1,roomtemp,46,blank,NA
d1,roomtemp,16,ica,8.5
d1,roomtemp,16,blank,NA
d1,roomtemp,16,blank,NA
d1,roomtemp,16,blank,NA
d1,roomtemp,31,ica,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,31,blank,NA
d1,roomtemp,31,blank,NA
d1,roomtemp,46,ica,7.9
d1,roomtemp,46,blank,NA
d1,roomtemp,46,blank,NA
d1,roomtemp,46,blank,NA
d1,roomtemp,16,blank,NA
d1,roomtemp,16,blank,NA
d1,roomtemp,16,fucus,8.5
d1,roomtemp,16,blank,NA
d1,roomtemp,31,blank,NA
d1,roomtemp,31,blank,NA
d1,roomtemp,31,fucus,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,46,blank,NA
d1,roomtemp,46,blank,NA
d1,roomtemp,46,fucus,8
d1,roomtemp,46,blank,NA
d1,roomtemp,16,nahant,8.6
d1,roomtemp,16,blank,NA
d1,roomtemp,16,fucus,8.6
d1,roomtemp,16,blank,NA
d1,roomtemp,31,nahant,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,31,fucus,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,46,nahant,8
d1,roomtemp,46,blank,NA
d1,roomtemp,46,fucus,8
d1,roomtemp,46,blank,NA
d1,roomtemp,16,nahant,8.6
d1,roomtemp,16,blank,NA
d1,roomtemp,16,fucus,8.5
d1,roomtemp,16,blank,NA
d1,roomtemp,31,nahant,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,31,fucus,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,46,nahant,8.1
d1,roomtemp,46,blank,NA
d1,roomtemp,46,fucus,8
d1,roomtemp,46,blank,NA
d1,roomtemp,16,nahant,8.5
d1,roomtemp,16,blank,NA
d1,roomtemp,16,blank,NA
d1,roomtemp,16,blank,NA
d1,roomtemp,31,nahant,8.3
d1,roomtemp,31,blank,NA
d1,roomtemp,31,blank,NA
d1,roomtemp,31,blank,NA
d1,roomtemp,46,nahant,8
d1,roomtemp,46,blank,NA
d1,roomtemp,46,blank,NA
d1,roomtemp,46,blank,NA
d2,15C,16,blank,7.4
d2,15C,16,blank,NA
d2,15C,16,charles,8.5
d2,15C,16,blank,NA
d2,15C,31,blank,7.8
d2,15C,31,blank,NA
d2,15C,31,charles,8.1
d2,15C,31,blank,NA
d2,15C,46,blank,7.8
d2,15C,46,blank,NA
d2,15C,46,charles,8
d2,15C,46,blank,NA
d2,15C,16,ica,8.4
d2,15C,16,blank,NA
d2,15C,16,charles,8.4
d2,15C,16,blank,NA
d2,15C,31,ica,8.2
d2,15C,31,blank,NA
d2,15C,31,charles,8.1
d2,15C,31,blank,NA
d2,15C,46,ica,7.8
d2,15C,46,blank,NA
d2,15C,46,charles,8
d2,15C,46,blank,NA
d2,15C,16,ica,8.4
d2,15C,16,blank,NA
d2,15C,16,charles,8.5
d2,15C,16,blank,NA
d2,15C,31,ica,8.3
d2,15C,31,blank,NA
d2,15C,31,charles,8.2
d2,15C,31,blank,NA
d2,15C,46,ica,7.9
d2,15C,46,blank,NA
d2,15C,46,charles,8.2
d2,15C,46,blank,NA
d2,15C,16,ica,8.5
d2,15C,16,blank,NA
d2,15C,16,blank,NA
d2,15C,16,blank,NA
d2,15C,31,ica,8.3
d2,15C,31,blank,NA
d2,15C,31,blank,NA
d2,15C,31,blank,NA
d2,15C,46,ica,8
d2,15C,46,blank,NA
d2,15C,46,blank,NA
d2,15C,46,blank,NA
d2,15C,16,blank,NA
d2,15C,16,blank,NA
d2,15C,16,fucus,8.5
d2,15C,16,blank,NA
d2,15C,31,blank,7.8
d2,15C,31,blank,NA
d2,15C,31,fucus,8.2
d2,15C,31,blank,NA
d2,15C,46,blank,NA
d2,15C,46,blank,NA
d2,15C,46,fucus,8
d2,15C,46,blank,NA
d2,15C,16,nahant,8.5
d2,15C,16,blank,NA
d2,15C,16,fucus,8.6
d2,15C,16,blank,NA
d2,15C,31,nahant,8.3
d2,15C,31,blank,NA
d2,15C,31,fucus,8.2
d2,15C,31,blank,NA
d2,15C,46,nahant,8
d2,15C,46,blank,NA
d2,15C,46,fucus,7.9
d2,15C,46,blank,NA
d2,15C,16,nahant,8.4
d2,15C,16,blank,NA
d2,15C,16,fucus,8.6
d2,15C,16,blank,NA
d2,15C,31,nahant,8.3
d2,15C,31,blank,NA
d2,15C,31,fucus,8.3
d2,15C,31,blank,NA
d2,15C,46,nahant,7.9
d2,15C,46,blank,NA
d2,15C,46,fucus,7.9
d2,15C,46,blank,NA
d2,15C,16,nahant,8.4
d2,15C,16,blank,NA
d2,15C,16,blank,NA
d2,15C,16,blank,NA
d2,15C,31,nahant,8.3
d2,15C,31,blank,NA
d2,15C,31,blank,NA
d2,15C,31,blank,NA
d2,15C,46,nahant,7.9
d2,15C,46,blank,NA
d2,15C,46,blank,NA
d2,15C,46,blank,NA
d2,roomtemp,16,blank,7.2
d2,roomtemp,16,blank,NA
d2,roomtemp,16,charles,8.6
d2,roomtemp,16,blank,7.4
d2,roomtemp,31,blank,7.8
d2,roomtemp,31,blank,NA
d2,roomtemp,31,charles,8.3
d2,roomtemp,31,blank,NA
d2,roomtemp,46,blank,7.9
d2,roomtemp,46,blank,NA
d2,roomtemp,46,charles,8
d2,roomtemp,46,blank,NA
d2,roomtemp,16,ica,8.3
d2,roomtemp,16,blank,NA
d2,roomtemp,16,charles,8.6
d2,roomtemp,16,blank,NA
d2,roomtemp,31,ica,8.4
d2,roomtemp,31,blank,NA
d2,roomtemp,31,charles,8.4
d2,roomtemp,31,blank,NA
d2,roomtemp,46,ica,8
d2,roomtemp,46,blank,NA
d2,roomtemp,46,charles,8
d2,roomtemp,46,blank,NA
d2,roomtemp,16,ica,8.5
d2,roomtemp,16,blank,NA
d2,roomtemp,16,charles,8.6
d2,roomtemp,16,blank,NA
d2,roomtemp,31,ica,8.4
d2,roomtemp,31,blank,NA
d2,roomtemp,31,charles,8.4
d2,roomtemp,31,blank,NA
d2,roomtemp,46,ica,8
d2,roomtemp,46,blank,NA
d2,roomtemp,46,charles,8
d2,roomtemp,46,blank,NA
d2,roomtemp,16,ica,8.6
d2,roomtemp,16,blank,NA
d2,roomtemp,16,blank,NA
d2,roomtemp,16,blank,NA
d2,roomtemp,31,ica,8.5
d2,roomtemp,31,blank,NA
d2,roomtemp,31,blank,NA
d2,roomtemp,31,blank,NA
d2,roomtemp,46,ica,8
d2,roomtemp,46,blank,NA
d2,roomtemp,46,blank,NA
d2,roomtemp,46,blank,NA
d2,roomtemp,16,blank,7.4
d2,roomtemp,16,blank,NA
d2,roomtemp,16,fucus,8.6
d2,roomtemp,16,blank,NA
d2,roomtemp,31,blank,NA
d2,roomtemp,31,blank,NA
d2,roomtemp,31,fucus,8.4
d2,roomtemp,31,blank,NA
d2,roomtemp,46,blank,NA
d2,roomtemp,46,blank,NA
d2,roomtemp,46,fucus,8
d2,roomtemp,46,blank,NA
d2,roomtemp,16,nahant,8.6
d2,roomtemp,16,blank,NA
d2,roomtemp,16,fucus,8.6
d2,roomtemp,16,blank,NA
d2,roomtemp,31,nahant,8.4
d2,roomtemp,31,blank,NA
d2,roomtemp,31,fucus,8.4
d2,roomtemp,31,blank,NA
d2,roomtemp,46,nahant,8.1
d2,roomtemp,46,blank,NA
d2,roomtemp,46,fucus,8
d2,roomtemp,46,blank,NA
d2,roomtemp,16,nahant,8.6
d2,roomtemp,16,blank,NA
d2,roomtemp,16,fucus,8.7
d2,roomtemp,16,blank,NA
d2,roomtemp,31,nahant,8.5
d2,roomtemp,31,blank,NA
d2,roomtemp,31,fucus,8.4
d2,roomtemp,31,blank,NA
d2,roomtemp,46,nahant,8.1
d2,roomtemp,46,blank,NA
d2,roomtemp,46,fucus,8
d2,roomtemp,46,blank,NA
d2,roomtemp,16,nahant,8.6
d2,roomtemp,16,blank,NA
d2,roomtemp,16,blank,NA
d2,roomtemp,16,blank,NA
d2,roomtemp,31,nahant,8.4
d2,roomtemp,31,blank,NA
d2,roomtemp,31,blank,NA
d2,roomtemp,31,blank,NA
d2,roomtemp,46,nahant,8
d2,roomtemp,46,blank,NA
d2,roomtemp,46,blank,NA
d2,roomtemp,46,blank,NA
d3,15C,16,blank,7.8
d3,15C,16,blank,NA
d3,15C,16,charles,8.4
d3,15C,16,blank,NA
d3,15C,31,blank,7.6
d3,15C,31,blank,NA
d3,15C,31,charles,8.2
d3,15C,31,blank,NA
d3,15C,46,blank,7.7
d3,15C,46,blank,NA
d3,15C,46,charles,7.9
d3,15C,46,blank,NA
d3,15C,16,ica,8.3
d3,15C,16,blank,NA
d3,15C,16,charles,8.4
d3,15C,16,blank,NA
d3,15C,31,ica,8.2
d3,15C,31,blank,NA
d3,15C,31,charles,8.2
d3,15C,31,blank,NA
d3,15C,46,ica,7.8
d3,15C,46,blank,NA
d3,15C,46,charles,8
d3,15C,46,blank,NA
d3,15C,16,ica,8.3
d3,15C,16,blank,NA
d3,15C,16,charles,8.5
d3,15C,16,blank,NA
d3,15C,31,ica,8.2
d3,15C,31,blank,NA
d3,15C,31,charles,8.2
d3,15C,31,blank,NA
d3,15C,46,ica,7.9
d3,15C,46,blank,NA
d3,15C,46,charles,8
d3,15C,46,blank,NA
d3,15C,16,ica,8.4
d3,15C,16,blank,NA
d3,15C,16,blank,7.8
d3,15C,16,blank,NA
d3,15C,31,ica,8.3
d3,15C,31,blank,NA
d3,15C,31,blank,7.8
d3,15C,31,blank,NA
d3,15C,46,ica,8
d3,15C,46,blank,NA
d3,15C,46,blank,7.8
d3,15C,46,blank,NA
d3,15C,16,blank,7.9
d3,15C,16,blank,NA
d3,15C,16,fucus,8.5
d3,15C,16,blank,NA
d3,15C,31,blank,7.8
d3,15C,31,blank,NA
d3,15C,31,fucus,8.2
d3,15C,31,blank,NA
d3,15C,46,blank,7.8
d3,15C,46,blank,NA
d3,15C,46,fucus,7.9
d3,15C,46,blank,NA
d3,15C,16,nahant,8.5
d3,15C,16,blank,NA
d3,15C,16,fucus,8.5
d3,15C,16,blank,NA
d3,15C,31,nahant,8.2
d3,15C,31,blank,NA
d3,15C,31,fucus,8.3
d3,15C,31,blank,NA
d3,15C,46,nahant,7.9
d3,15C,46,blank,NA
d3,15C,46,fucus,7.9
d3,15C,46,blank,NA
d3,15C,16,nahant,8.5
d3,15C,16,blank,NA
d3,15C,16,fucus,8.5
d3,15C,16,blank,NA
d3,15C,31,nahant,8.3
d3,15C,31,blank,NA
d3,15C,31,fucus,8.3
d3,15C,31,blank,NA
d3,15C,46,nahant,7.9
d3,15C,46,blank,NA
d3,15C,46,fucus,7.9
d3,15C,46,blank,NA
d3,15C,16,nahant,8.5
d3,15C,16,blank,NA
d3,15C,16,blank,7.8
d3,15C,16,blank,NA
d3,15C,31,nahant,8.3
d3,15C,31,blank,NA
d3,15C,31,blank,7.8
d3,15C,31,blank,NA
d3,15C,46,nahant,7.9
d3,15C,46,blank,NA
d3,15C,46,blank,7.8
d3,15C,46,blank,NA
d3,roomtemp,16,blank,7.3
d3,roomtemp,16,blank,NA
d3,roomtemp,16,charles,8.7
d3,roomtemp,16,blank,NA
d3,roomtemp,31,blank,7.9
d3,roomtemp,31,blank,NA
d3,roomtemp,31,charles,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,46,blank,7.9
d3,roomtemp,46,blank,NA
d3,roomtemp,46,charles,8
d3,roomtemp,46,blank,NA
d3,roomtemp,16,ica,8.6
d3,roomtemp,16,blank,NA
d3,roomtemp,16,charles,8.7
d3,roomtemp,16,blank,NA
d3,roomtemp,31,ica,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,31,charles,8.3
d3,roomtemp,31,blank,NA
d3,roomtemp,46,ica,7.9
d3,roomtemp,46,blank,NA
d3,roomtemp,46,charles,8
d3,roomtemp,46,blank,NA
d3,roomtemp,16,ica,8.6
d3,roomtemp,16,blank,NA
d3,roomtemp,16,charles,8.7
d3,roomtemp,16,blank,NA
d3,roomtemp,31,ica,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,31,charles,8.2
d3,roomtemp,31,blank,NA
d3,roomtemp,46,ica,7.9
d3,roomtemp,46,blank,NA
d3,roomtemp,46,charles,8
d3,roomtemp,46,blank,NA
d3,roomtemp,16,ica,8.6
d3,roomtemp,16,blank,NA
d3,roomtemp,16,blank,NA
d3,roomtemp,16,blank,NA
d3,roomtemp,31,ica,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,31,blank,NA
d3,roomtemp,31,blank,NA
d3,roomtemp,46,ica,8
d3,roomtemp,46,blank,NA
d3,roomtemp,46,blank,7.8
d3,roomtemp,46,blank,NA
d3,roomtemp,16,blank,NA
d3,roomtemp,16,blank,NA
d3,roomtemp,16,fucus,8.6
d3,roomtemp,16,blank,NA
d3,roomtemp,31,blank,NA
d3,roomtemp,31,blank,NA
d3,roomtemp,31,fucus,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,46,blank,7.8
d3,roomtemp,46,blank,NA
d3,roomtemp,46,fucus,8
d3,roomtemp,46,blank,NA
d3,roomtemp,16,nahant,8.7
d3,roomtemp,16,blank,NA
d3,roomtemp,16,fucus,8.6
d3,roomtemp,16,blank,NA
d3,roomtemp,31,nahant,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,31,fucus,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,46,nahant,8
d3,roomtemp,46,blank,NA
d3,roomtemp,46,fucus,8
d3,roomtemp,46,blank,NA
d3,roomtemp,16,nahant,8.7
d3,roomtemp,16,blank,NA
d3,roomtemp,16,fucus,8.7
d3,roomtemp,16,blank,NA
d3,roomtemp,31,nahant,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,31,fucus,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,46,nahant,8
d3,roomtemp,46,blank,NA
d3,roomtemp,46,fucus,8
d3,roomtemp,46,blank,NA
d3,roomtemp,16,nahant,8.7
d3,roomtemp,16,blank,NA
d3,roomtemp,16,blank,NA
d3,roomtemp,16,blank,NA
d3,roomtemp,31,nahant,8.4
d3,roomtemp,31,blank,NA
d3,roomtemp,31,blank,NA
d3,roomtemp,31,blank,NA
d3,roomtemp,46,nahant,8
d3,roomtemp,46,blank,NA
d3,roomtemp,46,blank,7.8
d3,roomtemp,46,blank,NA
d4,15C,16,blank,7.4
d4,15C,16,blank,NA
d4,15C,16,charles,8.6
d4,15C,16,blank,NA
d4,15C,31,blank,7.6
d4,15C,31,blank,NA
d4,15C,31,charles,8.3
d4,15C,31,blank,NA
d4,15C,46,blank,7.7
d4,15C,46,blank,NA
d4,15C,46,charles,8
d4,15C,46,blank,NA
d4,15C,16,ica,8.6
d4,15C,16,blank,NA
d4,15C,16,charles,8.5
d4,15C,16,blank,NA
d4,15C,31,ica,8.1
d4,15C,31,blank,NA
d4,15C,31,charles,8.3
d4,15C,31,blank,NA
d4,15C,46,ica,7.9
d4,15C,46,blank,NA
d4,15C,46,charles,8
d4,15C,46,blank,NA
d4,15C,16,ica,8.5
d4,15C,16,blank,NA
d4,15C,16,charles,8.6
d4,15C,16,blank,NA
d4,15C,31,ica,8.3
d4,15C,31,blank,NA
d4,15C,31,charles,8.3
d4,15C,31,blank,NA
d4,15C,46,ica,7.9
d4,15C,46,blank,NA
d4,15C,46,charles,8
d4,15C,46,blank,NA
d4,15C,16,ica,8.7
d4,15C,16,blank,NA
d4,15C,16,blank,8
d4,15C,16,blank,NA
d4,15C,31,ica,8.4
d4,15C,31,blank,NA
d4,15C,31,blank,7.7
d4,15C,31,blank,NA
d4,15C,46,ica,8
d4,15C,46,blank,NA
d4,15C,46,blank,7.9
d4,15C,46,blank,NA
d4,15C,16,blank,7.8
d4,15C,16,blank,NA
d4,15C,16,fucus,8.5
d4,15C,16,blank,NA
d4,15C,31,blank,7.8
d4,15C,31,blank,NA
d4,15C,31,fucus,8.3
d4,15C,31,blank,NA
d4,15C,46,blank,7.9
d4,15C,46,blank,NA
d4,15C,46,fucus,7.9
d4,15C,46,blank,NA
d4,15C,16,nahant,8.6
d4,15C,16,blank,NA
d4,15C,16,fucus,8.6
d4,15C,16,blank,NA
d4,15C,31,nahant,8.3
d4,15C,31,blank,NA
d4,15C,31,fucus,8.3
d4,15C,31,blank,NA
d4,15C,46,nahant,7.9
d4,15C,46,blank,NA
d4,15C,46,fucus,7.9
d4,15C,46,blank,NA
d4,15C,16,nahant,8.6
d4,15C,16,blank,NA
d4,15C,16,fucus,8.6
d4,15C,16,blank,NA
d4,15C,31,nahant,8.3
d4,15C,31,blank,NA
d4,15C,31,fucus,8.3
d4,15C,31,blank,NA
d4,15C,46,nahant,8
d4,15C,46,blank,NA
d4,15C,46,fucus,7.9
d4,15C,46,blank,NA
d4,15C,16,nahant,8.6
d4,15C,16,blank,NA
d4,15C,16,blank,7.9
d4,15C,16,blank,NA
d4,15C,31,nahant,8.3
d4,15C,31,blank,NA
d4,15C,31,blank,7.8
d4,15C,31,blank,NA
d4,15C,46,nahant,8
d4,15C,46,blank,NA
d4,15C,46,blank,7.8
d4,15C,46,blank,NA
d4,roomtemp,16,blank,7.5
d4,roomtemp,16,blank,NA
d4,roomtemp,16,charles,8.6
d4,roomtemp,16,blank,NA
d4,roomtemp,31,blank,7.7
d4,roomtemp,31,blank,NA
d4,roomtemp,31,charles,8.4
d4,roomtemp,31,blank,NA
d4,roomtemp,46,blank,7.8
d4,roomtemp,46,blank,NA
d4,roomtemp,46,charles,8
d4,roomtemp,46,blank,NA
d4,roomtemp,16,ica,8.5
d4,roomtemp,16,blank,NA
d4,roomtemp,16,charles,8.7
d4,roomtemp,16,blank,NA
d4,roomtemp,31,ica,8.3
d4,roomtemp,31,blank,NA
d4,roomtemp,31,charles,8.3
d4,roomtemp,31,blank,NA
d4,roomtemp,46,ica,7.8
d4,roomtemp,46,blank,NA
d4,roomtemp,46,charles,8
d4,roomtemp,46,blank,NA
d4,roomtemp,16,ica,8.7
d4,roomtemp,16,blank,NA
d4,roomtemp,16,charles,8.7
d4,roomtemp,16,blank,NA
d4,roomtemp,31,ica,8.5
d4,roomtemp,31,blank,NA
d4,roomtemp,31,charles,8.4
d4,roomtemp,31,blank,NA
d4,roomtemp,46,ica,7.9
d4,roomtemp,46,blank,NA
d4,roomtemp,46,charles,8
d4,roomtemp,46,blank,NA
d4,roomtemp,16,ica,8.7
d4,roomtemp,16,blank,NA
d4,roomtemp,16,blank,7.9
d4,roomtemp,16,blank,NA
d4,roomtemp,31,ica,8.4
d4,roomtemp,31,blank,NA
d4,roomtemp,31,blank,7.9
d4,roomtemp,31,blank,NA
d4,roomtemp,46,ica,8
d4,roomtemp,46,blank,NA
d4,roomtemp,46,blank,7.9
d4,roomtemp,46,blank,NA
d4,roomtemp,16,blank,7.7
d4,roomtemp,16,blank,NA
d4,roomtemp,16,fucus,8.7
d4,roomtemp,16,blank,NA
d4,roomtemp,31,blank,7.9
d4,roomtemp,31,blank,NA
d4,roomtemp,31,fucus,8.4
d4,roomtemp,31,blank,NA
d4,roomtemp,46,blank,7.9
d4,roomtemp,46,blank,NA
d4,roomtemp,46,fucus,7.9
d4,roomtemp,46,blank,NA
d4,roomtemp,16,nahant,8.6
d4,roomtemp,16,blank,NA
d4,roomtemp,16,fucus,8.7
d4,roomtemp,16,blank,NA
d4,roomtemp,31,nahant,8.4
d4,roomtemp,31,blank,NA
d4,roomtemp,31,fucus,8.4
d4,roomtemp,31,blank,NA
d4,roomtemp,46,nahant,8
d4,roomtemp,46,blank,NA
d4,roomtemp,46,fucus,8
d4,roomtemp,46,blank,NA
d4,roomtemp,16,nahant,8.7
d4,roomtemp,16,blank,NA
d4,roomtemp,16,fucus,8.7
d4,roomtemp,16,blank,NA
d4,roomtemp,31,nahant,8.4
d4,roomtemp,31,blank,NA
d4,roomtemp,31,fucus,8.4
d4,roomtemp,31,blank,NA
d4,roomtemp,46,nahant,8
d4,roomtemp,46,blank,NA
d4,roomtemp,46,fucus,8
d4,roomtemp,46,blank,NA
d4,roomtemp,16,nahant,8.7
d4,roomtemp,16,blank,NA
d4,roomtemp,16,blank,7.6
d4,roomtemp,16,blank,NA
d4,roomtemp,31,nahant,8.4
d4,roomtemp,31,blank,NA
d4,roomtemp,31,blank,7.9
d4,roomtemp,31,blank,NA
d4,roomtemp,46,nahant,8
d4,roomtemp,46,blank,NA
d4,roomtemp,46,blank,7.9
d4,roomtemp,46,blank,NA
